USA-road-t.USA.gr.out,123456789,2,23947347,29166672,6.074276,0.051788,cc,1
USA-road-t.USA.gr.out,123456790,2,23947347,29166672,6.090740,0.049198,cc,1
USA-road-t.USA.gr.out,123456791,2,23947347,29166672,6.085888,0.048077,cc,1
USA-road-t.USA.gr.out,123456792,2,23947347,29166672,6.088478,0.048829,cc,1
USA-road-t.USA.gr.out,123456793,2,23947347,29166672,6.096785,0.048525,cc,1
USA-road-t.USA.gr.out,123456794,2,23947347,29166672,6.089335,0.048046,cc,1
USA-road-t.USA.gr.out,123456795,2,23947347,29166672,6.076776,0.047807,cc,1
USA-road-t.USA.gr.out,123456796,2,23947347,29166672,6.081725,0.047983,cc,1
USA-road-t.USA.gr.out,123456797,2,23947347,29166672,6.080726,0.048065,cc,1
USA-road-t.USA.gr.out,123456798,2,23947347,29166672,6.086521,0.047928,cc,1
USA-road-t.USA.gr.out,123456799,2,23947347,29166672,6.085767,0.048215,cc,1
USA-road-t.USA.gr.out,123456800,2,23947347,29166672,6.086860,0.048284,cc,1
USA-road-t.USA.gr.out,123456801,2,23947347,29166672,6.099981,0.048029,cc,1
USA-road-t.USA.gr.out,123456802,2,23947347,29166672,6.074841,0.048143,cc,1
USA-road-t.USA.gr.out,123456803,2,23947347,29166672,6.085532,0.047996,cc,1
USA-road-t.USA.gr.out,123456804,2,23947347,29166672,6.090371,0.048349,cc,1
USA-road-t.USA.gr.out,123456805,2,23947347,29166672,6.078124,0.048928,cc,1
USA-road-t.USA.gr.out,123456806,2,23947347,29166672,6.091884,0.049986,cc,1
USA-road-t.USA.gr.out,123456807,2,23947347,29166672,7.032411,0.058336,cc,1
USA-road-t.USA.gr.out,123456808,2,23947347,29166672,7.106819,0.058113,cc,1
