# threads 18 processes 8 vertices 400000000 edges 399965890
# algorithm_time 	 total_time
38.3157	39.4389
37.2961	38.2634
37.4615	38.4287
37.528	38.5124
37.3881	38.356
37.2878	38.2548
37.3014	38.2699
37.1979	38.1669
36.781	37.7486
36.9424	37.9089
37.3229	38.2905
36.779	37.7445
36.8949	37.8672
37.4267	38.3949
37.2973	38.266
37.2577	38.2389
37.1916	38.1595
37.0546	38.024
36.1675	37.1343
35.621	36.5877
36.1592	37.1271
36.037	37.0048
35.9918	37.0063
36.7801	37.7489
36.0255	36.9893
36.1836	37.1492
36.1882	37.1533
36.2732	37.2395
35.7784	36.7475
36.6354	37.6017
