# threads 18 processes 1 vertices 400000000 edges 599964067
# algorithm_time 	 reduction_time
1.03426	9.67e-07
1.03534	7.66e-07
1.03415	1.048e-06
1.03533	1.199e-06
1.03572	9.3e-07
1.0361	8.47e-07
1.03609	7.85e-07
1.03479	1.033e-06
1.03454	8.17e-07
1.03553	7.95e-07
1.03536	8.67e-07
1.0356	9.26e-07
1.03389	7.99e-07
1.0337	7.64e-07
1.03551	1.11e-06
1.03641	1.282e-06
1.03343	7.7e-07
1.03414	7.96e-07
1.03496	8.6e-07
1.03445	1.02e-06
1.03531	1.04e-06
1.03587	7.3e-07
1.03458	8.23e-07
1.03653	7.73e-07
1.03571	7.25e-07
1.0348	8.66e-07
1.03458	8.09e-07
1.03613	8.12e-07
1.03543	1.007e-06
1.03625	9.9e-07
