# threads 18 processes 3 vertices 400000000 edges 399965890
# algorithm_time 	 total_time
87.2719	89.9453
87.0816	89.7599
86.7979	89.4611
86.7711	89.4394
86.8064	89.4824
86.7462	89.416
86.8139	89.4826
86.8789	89.5507
86.844	89.5078
86.8231	89.4909
86.8406	89.5093
86.8601	89.5326
86.879	89.5457
86.8069	89.4785
86.8477	89.5202
86.8088	89.4757
86.8485	89.5196
86.8809	89.5503
86.8409	89.5054
86.8572	89.5254
86.8611	89.5283
86.8266	89.4959
86.8669	89.5358
86.8275	89.4975
86.8177	89.4845
86.8279	89.4956
86.8359	89.5129
86.8742	89.5399
86.833	89.5006
86.859	89.5289
