# threads 18 processes 2 vertices 400000000 edges 199985882
# algorithm_time 	 total_time
0.738639	1.89231
0.673351	1.79131
1.01445	2.13377
0.735413	1.85524
0.721144	1.84906
0.655166	1.77267
0.651319	1.76852
0.651301	1.76588
0.650535	1.77006
0.649791	1.76836
0.650954	1.76686
0.65058	1.769
0.650369	1.76742
0.65143	1.77193
0.650351	1.76779
0.650257	1.7686
0.650433	1.7688
0.650794	1.76915
0.650746	1.77269
0.651033	1.76953
0.681259	1.79967
0.650997	1.76879
0.650436	1.76924
0.650321	1.76869
0.649287	1.79395
0.650571	1.76729
0.651212	1.76956
0.650392	1.76973
0.650795	1.76753
0.650838	1.7679
