# threads 18 processes 4 vertices 400000000 edges 199985882
# algorithm_time 	 total_time
0.692562	2.47746
0.606363	2.22106
0.421286	1.78344
0.418319	1.77995
0.418462	1.78075
0.41875	1.781
0.41764	1.77877
0.42212	1.78386
0.418407	1.78059
0.41796	1.78043
0.418489	1.7805
0.41823	1.77987
0.418525	1.77989
0.417747	1.77925
0.417954	1.77917
0.428809	1.79133
0.417307	1.77952
0.417737	1.78007
0.417408	1.77914
0.418261	1.77984
0.417463	1.77979
0.418279	1.78067
0.417366	1.77906
0.418455	1.78013
0.418597	1.78149
0.417968	1.77997
0.417266	1.77935
0.417541	1.77959
0.418385	1.78005
0.418441	1.77993
