# threads 18 processes 5 vertices 400000000 edges 199985882
# algorithm_time 	 total_time
0.69666	3.01506
0.642577	2.28529
0.519656	2.16718
0.49541	2.13977
0.498545	2.14456
0.502824	2.14829
0.501024	2.14267
0.504123	2.14832
0.500332	2.14318
0.500115	2.1469
0.496606	2.13857
0.503879	2.14815
0.502477	2.14319
0.504876	2.14744
0.500765	2.14562
0.499008	2.14088
0.505246	2.14953
0.500958	2.14615
0.500715	2.14327
0.498565	2.14202
0.497947	2.14161
0.502354	2.14671
0.505562	2.14885
0.501683	2.15659
0.49362	2.13826
0.497333	2.14294
0.536196	2.18455
0.498671	2.14418
0.500658	2.1428
0.495125	2.14103
