# threads 18 processes 3 vertices 400000000 edges 399965890
# algorithm_time 	 reduction_time
3.38787	2.84916
3.31639	2.77801
3.28241	2.74429
3.26439	2.72652
3.26442	2.72646
3.2736	2.73557
3.26606	2.72784
3.26383	2.72457
3.2703	2.73189
3.2749	2.73706
3.27613	2.7381
3.26697	2.7287
3.27431	2.73611
3.28	2.74221
3.26249	2.72377
3.26651	2.7284
3.26492	2.72666
3.26258	2.72393
3.26773	2.72925
3.26473	2.72649
3.28597	2.748
3.27176	2.73408
3.26859	2.73089
3.27326	2.73548
3.27117	2.73332
3.27172	2.73392
3.28657	2.74831
3.27269	2.73412
3.26861	2.73102
3.27001	2.73152
