# threads 18 processes 4 vertices 400000000 edges 599964067
# algorithm_time 	 total_time
34.1469	35.8328
33.6657	35.3377
33.4432	35.0947
33.3747	35.0246
33.5013	35.1574
33.4074	35.0585
33.4309	35.0844
33.4114	35.0642
33.4364	35.0878
33.4105	35.0616
33.4506	35.1038
33.3997	35.0578
33.4332	35.0868
33.4056	35.063
33.4361	35.086
33.4028	35.0523
33.4372	35.0906
33.4142	35.0638
33.4889	35.146
33.4237	35.0782
33.4993	35.1459
33.4539	35.1018
33.4861	35.1333
33.4145	35.0698
33.4234	35.0741
33.4255	35.0783
33.4212	35.0681
33.4214	35.0762
33.4418	35.093
33.4212	35.076
