# threads 18 processes 1 vertices 400000000 edges 199985882
# algorithm_time 	 total_time
1.21885	3.72303
1.26699	3.75022
1.2663	3.75367
1.26611	3.75079
1.26574	3.74935
1.2668	3.75021
1.26599	3.74844
1.26608	3.74874
1.266	3.74638
1.26637	3.75311
1.26577	3.74739
1.26619	3.74884
1.26704	3.74817
1.26624	3.74906
1.26657	3.74943
1.26622	3.74845
1.2663	3.74892
1.26628	3.74901
1.26589	3.74671
1.26611	3.74767
1.26705	3.74985
1.26724	3.75214
1.26655	3.74889
1.26613	3.75168
1.26691	3.75112
1.26633	3.75246
1.26578	3.74851
1.26697	3.7478
1.26666	3.74924
1.26655	3.74907
