# threads 18 processes 4 vertices 400000000 edges 199985882
# algorithm_time 	 reduction_time
4.98713	3.7128
5.09433	3.82239
5.09105	3.81841
5.07735	3.80967
5.09607	3.82452
5.10035	3.82624
5.09415	3.82638
5.12982	3.8547
5.08804	3.82082
5.09259	3.81844
5.08428	3.81698
5.07807	3.81066
5.08976	3.82282
5.09012	3.81552
5.07819	3.81093
5.09588	3.82258
5.1008	3.82677
5.10195	3.82824
5.1003	3.82622
5.09691	3.82239
5.09843	3.8245
5.09006	3.81622
5.0917	3.82065
5.09907	3.82472
5.08861	3.81481
5.09654	3.82223
5.09408	3.82048
5.09883	3.82428
5.11285	3.83748
5.08141	3.81124
