# threads 18 processes 4 vertices 400000000 edges 599964067
# algorithm_time 	 reduction_time
41.5182	5.49041
41.2972	5.14501
40.5703	4.4077
40.5707	4.41658
40.5708	4.41365
40.5799	4.41366
40.5753	4.42152
40.5731	4.54269
40.5738	4.55374
40.5663	4.54114
40.5818	4.55509
40.6763	4.65137
40.6814	4.6547
40.6897	4.66738
40.6804	4.65274
40.6841	4.65966
40.6718	4.64843
40.6816	4.65607
40.6851	4.66518
40.6737	4.64742
40.574	4.54649
40.5812	4.51614
40.571	4.54156
40.5819	4.42725
40.6749	4.52238
40.679	4.65779
40.6744	4.65085
40.6747	4.64654
40.686	4.66372
40.6755	4.5233
