# threads 18 processes 5 vertices 400000000 edges 199985882
# algorithm_time 	 reduction_time
7.10451	6.71721
7.05451	6.66725
7.05422	6.66655
7.06028	6.67267
7.05508	6.66752
7.05376	6.66626
7.05424	6.66666
7.06395	6.67672
7.09568	6.70771
7.08413	6.69187
7.0564	6.66944
7.05623	6.66902
7.05652	6.66933
7.05321	6.66573
7.05857	6.67119
7.05649	6.66862
7.05606	6.66849
7.05412	6.66655
7.05568	6.66844
7.05472	6.66741
7.05522	6.66796
7.0552	6.66811
7.05585	6.6687
7.05614	6.66907
7.05482	6.66759
7.05565	6.66812
7.05421	6.6665
7.05647	6.66911
7.05696	6.66923
7.05212	6.66563
