# threads 18 processes 8 vertices 400000000 edges 199985882
# algorithm_time 	 reduction_time
7.08157	6.72528
7.14619	6.79061
7.13372	6.77594
7.12208	6.76604
7.12598	6.77041
7.1267	6.77104
7.12007	6.76441
7.15332	6.79787
7.1589	6.80309
7.15095	6.79523
7.12452	6.7687
7.11701	6.76208
7.13062	6.77463
7.11594	6.76037
7.12265	6.76719
7.11994	6.76432
7.12472	6.76962
7.14229	6.78611
7.11623	6.76091
7.15676	6.80116
7.20593	6.85061
7.22552	6.86928
7.14996	6.79417
7.12546	6.76932
7.13445	6.77919
7.14538	6.78985
7.13334	6.7777
7.12561	6.76973
7.12922	6.77332
7.15387	6.79794
