# threads 18 processes 6 vertices 400000000 edges 199985882
# algorithm_time 	 total_time
0.796623	2.06669
0.577434	1.66994
0.470336	1.49802
0.485821	1.57252
0.454423	1.46147
0.455413	1.4643
0.457562	1.46862
0.45174	1.46328
0.456389	1.46433
0.458933	1.466
0.455872	1.46567
0.453683	1.46203
0.452347	1.46224
0.45354	1.4615
0.453422	1.4617
0.452789	1.46133
0.45309	1.46111
0.452373	1.46007
0.45152	1.46132
0.451868	1.45944
0.452346	1.46157
0.452102	1.46145
0.45237	1.46126
0.451911	1.45872
0.452157	1.4612
0.451369	1.46103
0.452133	1.45993
0.452865	1.46253
0.45259	1.4616
0.452758	1.46165
