# threads 18 processes 3 vertices 400000000 edges 599964067
# algorithm_time 	 total_time
1.26501	3.07885
1.03133	2.74369
0.79458	2.58179
0.793187	2.51282
0.793751	2.50643
0.794155	2.50567
0.809875	2.51981
0.795676	2.49527
0.79427	2.50865
0.79328	2.50164
0.792192	2.50754
0.79457	2.50569
0.795013	2.50851
0.794657	2.50534
0.794077	2.50728
0.794735	2.50608
0.7937	2.50894
0.79267	2.50243
0.793659	2.50714
0.792651	2.50711
0.79445	2.50715
0.794009	2.50429
0.793191	2.50726
0.795154	2.50862
0.79634	2.50719
0.795059	2.50505
0.795932	2.50851
0.793469	2.50518
0.796039	2.50961
0.794294	2.50335
