# threads 18 processes 7 vertices 400000000 edges 399965890
# algorithm_time 	 total_time
45.2983	46.6607
42.9431	43.9238
42.9179	43.9022
44.4419	45.4292
42.8933	43.8763
42.8745	43.8586
42.8818	43.8645
42.8189	43.8036
43.1079	44.095
42.9162	43.9021
45.0688	46.0582
42.8444	43.8338
43.063	44.0465
44.8901	45.8778
42.9304	43.9174
42.8324	43.8161
42.9019	43.8874
42.978	43.9618
42.9377	43.9209
43.1522	44.1371
43.2714	44.2589
43.245	44.2293
45.9002	46.8859
43.1363	44.1229
42.9865	43.9735
42.9843	43.9719
42.9766	43.9613
43.3475	44.3338
43.1551	44.1393
43.2622	44.2437
