# threads 18 processes 7 vertices 400000000 edges 199985882
# algorithm_time 	 reduction_time
7.15749	6.79562
7.13643	6.77428
7.13289	6.77012
7.13702	6.77427
7.13222	6.77014
7.13234	6.77034
7.13093	6.76883
7.13339	6.77149
7.12965	6.76771
7.13005	6.76824
7.13332	6.77076
7.1376	6.77526
7.13169	6.76954
7.12959	6.76768
7.46587	7.10334
7.13076	6.76884
7.13796	6.77583
7.13356	6.77107
7.12938	6.76749
7.18573	6.82306
7.13444	6.772
7.12838	6.7664
7.1327	6.77037
7.1346	6.77225
7.13157	6.76918
7.13242	6.77046
7.12826	6.76626
7.1309	6.76926
7.13143	6.76956
7.12884	6.76671
