# threads 18 processes 8 vertices 400000000 edges 599964067
# algorithm_time 	 total_time
12.6988	14.3157
12.4912	13.9616
12.3954	13.8727
12.3917	13.8626
12.3933	13.868
12.3882	13.8599
12.3896	13.8593
12.3921	13.8685
12.3925	13.8633
12.3903	13.8656
12.3206	13.7933
12.3139	13.7867
12.3143	13.7868
12.3139	13.7835
12.3175	13.7876
12.3146	13.7885
12.3193	13.7916
12.3201	13.7959
12.3128	13.7897
12.3219	13.7917
12.3175	13.7884
12.3678	13.8355
12.3721	13.8488
12.3717	13.8389
12.3755	13.8503
12.3802	13.8527
12.3729	13.8471
12.3819	13.8531
12.3845	13.8539
12.3805	13.8524
