# threads 18 processes 3 vertices 400000000 edges 199985882
# algorithm_time 	 total_time
0.820021	2.12932
0.772169	2.07589
0.526867	1.83082
0.526757	1.83112
0.521924	1.82735
0.523922	1.82985
0.523927	1.83351
0.523349	1.82901
0.521918	1.83171
0.523602	1.83155
0.523263	1.83047
0.523386	1.82987
0.522235	1.8295
0.523801	1.83287
0.522929	1.83009
0.522433	1.82893
0.523786	1.83113
0.522261	1.83057
0.521801	1.8299
0.524574	1.83168
0.523487	1.83221
0.521684	1.82947
0.523615	1.82966
0.521912	1.82978
0.521979	1.83028
0.522623	1.83182
0.522996	1.82943
0.522273	1.82741
0.521609	1.82796
0.524164	1.8329
