# threads 18 processes 3 vertices 400000000 edges 199985882
# algorithm_time 	 reduction_time
4.16413	3.7223
4.16577	3.72369
4.17649	3.73486
4.16653	3.72458
4.15951	3.71785
4.16693	3.72525
4.16128	3.71917
4.16714	3.72559
4.17605	3.73402
4.16053	3.71882
4.16212	3.72028
4.15858	3.71681
4.16752	3.72597
4.15731	3.71552
4.17383	3.73261
4.15236	3.71082
4.15972	3.71811
4.16575	3.72411
4.16723	3.72568
4.1662	3.72487
4.17327	3.73148
4.16041	3.71786
4.15985	3.7182
4.16121	3.7197
4.15994	3.71796
4.1607	3.71895
4.16857	3.7268
4.17614	3.73407
4.16787	3.72574
4.16094	3.71924
