# threads 18 processes 2 vertices 400000000 edges 199985882
# algorithm_time 	 reduction_time
3.18063	1.80021
3.16594	1.78874
3.16643	1.7894
3.16263	1.78559
3.17777	1.79979
3.16626	1.78854
3.16617	1.78859
3.16675	1.78903
3.16647	1.78893
3.16561	1.78843
3.16568	1.78852
3.16016	1.789
3.16865	1.79108
3.16729	1.7884
3.16641	1.78887
3.16516	1.78829
3.1669	1.78923
3.16611	1.78857
3.16664	1.78891
3.1666	1.7891
3.16087	1.7888
3.16608	1.78872
3.16603	1.78866
3.16659	1.78883
3.16687	1.78925
3.16589	1.78862
3.16589	1.78902
3.17088	1.79312
3.16634	1.78933
3.16701	1.7888
