# threads 18 processes 2 vertices 400000000 edges 399965890
# algorithm_time 	 reduction_time
2.53508	1.88179
2.516	1.86161
2.51649	1.86306
2.51422	1.86042
2.51359	1.85953
2.51536	1.86236
2.5173	1.86333
2.52047	1.86565
2.51457	1.86058
2.51884	1.8653
2.51708	1.86374
2.51706	1.86351
2.51789	1.86439
2.52113	1.86712
2.51807	1.86414
2.51808	1.86456
2.51916	1.86568
2.51638	1.86309
2.51894	1.86543
2.51492	1.86062
2.52037	1.86607
2.51851	1.86444
2.51315	1.85986
2.51586	1.86195
2.51483	1.8609
2.51853	1.86357
2.51452	1.86092
2.51988	1.86588
2.52082	1.86715
2.51477	1.86116
