# threads 18 processes 1 vertices 400000000 edges 399965890
# algorithm_time 	 total_time
1.28764	6.30724
1.23787	4.94911
1.23821	4.94666
1.23808	4.94663
1.23796	4.9466
1.23808	4.94875
1.23696	4.94859
1.23771	4.94779
1.23796	4.94747
1.2376	4.94675
1.23732	4.94643
1.23809	4.94647
1.23769	4.93899
1.23803	4.94661
1.23774	4.93882
1.23824	4.94529
1.2384	4.94511
1.23773	4.94819
1.23809	4.94755
1.23822	4.9472
1.23831	4.94788
1.23795	4.94551
1.23794	4.94724
1.23808	4.9383
1.2373	4.94497
1.23792	4.93721
1.23823	4.94896
1.23816	4.94751
1.23777	4.94645
1.2379	4.9496
