# threads 18 processes 8 vertices 400000000 edges 199985882
# algorithm_time 	 total_time
0.753552	1.94434
0.591163	1.70908
0.502829	1.61701
0.504594	1.62295
0.534782	1.654
0.494308	1.61143
0.501144	1.61909
0.495	1.61395
0.498979	1.61537
0.500857	1.61809
0.497292	1.6151
0.496428	1.61266
0.497583	1.61402
0.49768	1.61633
0.497448	1.61463
0.499735	1.61631
0.498771	1.61655
0.497707	1.61508
0.494674	1.61165
0.495297	1.61395
0.497826	1.61608
0.497077	1.61604
0.498791	1.61799
0.494438	1.61104
0.496889	1.61524
0.497768	1.61622
0.495377	1.61386
0.497079	1.61281
0.497517	1.61534
0.497541	1.61528
