# threads 18 processes 6 vertices 400000000 edges 199985882
# algorithm_time 	 reduction_time
7.11565	6.74245
7.08262	6.70856
7.07916	6.70584
7.07813	6.70487
7.08089	6.7079
7.08161	6.70748
7.08179	6.70821
7.07972	6.70665
7.08225	6.70936
7.07807	6.70524
7.07832	6.70446
7.07975	6.70667
7.10293	6.72944
7.08202	6.70909
7.08043	6.70699
7.07892	6.70608
7.07726	6.70403
7.08087	6.70742
7.07745	6.70482
7.07672	6.70387
7.08357	6.71089
7.08109	6.70827
7.08123	6.70781
7.0788	6.70603
7.08656	6.71337
7.07896	6.70568
7.08134	6.70739
7.07876	6.70487
7.08239	6.70907
7.08007	6.70688
