# threads 18 processes 6 vertices 400000000 edges 599964067
# algorithm_time 	 total_time
13.0522	14.6706
12.9645	14.4677
40.0976	41.7116
12.8298	14.3339
12.8284	14.3356
12.8266	14.3268
12.8257	14.3187
12.9585	14.4596
12.9406	14.4398
12.9317	14.4322
12.9311	14.4294
12.9239	14.4198
12.9267	14.4206
12.9401	14.4469
12.9285	14.4258
12.9319	14.4297
12.9352	14.4343
12.9271	14.4279
12.9303	14.4284
12.9255	14.4286
12.9278	14.4236
12.9311	14.4337
12.9639	14.4654
12.8335	14.3377
12.8315	14.3274
12.8349	14.3352
12.8309	14.3294
12.8292	14.3317
12.8351	14.3359
12.8331	14.3354
