# threads 18 processes 1 vertices 400000000 edges 399965890
# algorithm_time 	 reduction_time
1.87075	1.009e-06
1.87138	1.074e-06
1.86984	9.36e-07
1.86457	7.49e-07
1.86445	8.73e-07
1.87025	7.57e-07
1.86961	8.01e-07
1.87093	8.7e-07
1.87022	8.18e-07
1.86976	7.81e-07
1.87125	7.93e-07
1.86965	8.39e-07
1.86975	1.622e-06
1.87041	8e-07
1.86634	7.63e-07
1.86555	1.19e-06
1.86992	9.07e-07
1.8703	7.75e-07
1.87108	9.83e-07
1.87026	2.538e-06
1.87026	1.502e-06
1.86879	8.7e-07
1.87035	1.338e-06
1.86957	9.05e-07
1.87035	9.93e-07
1.86958	8.04e-07
1.86998	1.336e-06
1.87085	1.452e-06
1.87028	1.038e-06
1.87069	8.19e-07
