# threads 18 processes 5 vertices 400000000 edges 599964067
# algorithm_time 	 total_time
0.673026	2.20244
0.614752	2.13844
0.470955	1.99279
0.471135	1.99865
0.471512	1.93429
0.472007	2.0002
0.470959	1.99131
0.471097	1.99974
0.4716	2.00208
0.471193	2.00133
0.472289	1.99971
0.472277	1.95479
0.472494	1.99855
0.471742	1.96479
0.472005	2.00323
0.471256	1.9992
0.471746	1.98644
0.47205	1.99796
0.471836	2.00241
0.471404	1.93342
0.471203	1.9988
0.470623	1.99508
0.47	1.95421
0.471324	2.00116
0.47215	2.00369
0.472686	2.0043
0.471478	1.93286
0.471484	1.98733
0.471462	1.99553
0.470608	1.98875
