# threads 18 processes 7 vertices 400000000 edges 599964067
# algorithm_time 	 total_time
0.569614	2.07862
0.461259	1.96326
0.358791	1.85034
0.357312	1.84315
0.358614	1.85851
0.358561	1.86066
0.357836	1.86277
0.358589	1.84816
0.35873	1.78827
0.358401	1.86137
0.357823	1.86016
0.35786	1.79113
0.357892	1.86566
0.358808	1.86116
0.356716	1.85867
0.357314	1.83105
0.35777	1.86185
0.357799	1.80191
0.356561	1.86037
0.358024	1.86462
0.357841	1.84846
0.358706	1.86417
0.358258	1.80433
0.357233	1.81226
0.357064	1.86217
0.357618	1.86356
0.356621	1.86175
0.357923	1.8488
0.356263	1.84636
0.358127	1.85434
