# threads 18 processes 1 vertices 400000000 edges 599964067
# algorithm_time 	 total_time
1.21661	9.84196
1.18724	7.15185
1.18239	7.1479
1.18605	7.15267
1.18623	7.14978
1.18624	7.1517
1.18556	7.1511
1.18527	7.1551
1.18598	7.15139
1.186	7.1529
1.18464	7.15108
1.18571	7.15196
1.18596	7.15219
1.18381	7.1493
1.18822	7.15267
1.1873	7.15572
1.18411	7.15221
1.18444	7.14922
1.18587	7.15105
1.18768	7.15481
1.18579	7.15534
1.18629	7.15427
1.18561	7.1531
1.18527	7.15235
1.1861	7.15426
1.18608	7.15326
1.1853	7.15388
1.18609	7.1524
1.18593	7.15758
1.18668	7.15325
