# threads 18 processes 2 vertices 400000000 edges 399965890
# algorithm_time 	 total_time
47.8946	51.443
47.8479	51.123
47.9033	51.2092
47.8866	51.1909
47.9836	51.2888
47.9507	51.2543
47.9437	51.2488
47.8714	51.1746
47.8496	51.1563
47.8365	51.1414
47.9273	51.2321
47.8967	51.2024
47.8479	51.1491
47.8842	51.1889
47.8573	51.1601
47.8624	51.1642
47.8919	51.1964
47.8817	51.1863
47.8783	51.1793
47.9572	51.2626
47.8538	51.1599
47.8859	51.1843
47.8594	51.1612
47.8749	51.174
47.8875	51.1894
47.9059	51.2084
47.8561	51.1555
47.9021	51.2043
47.8597	51.1622
47.8359	51.1369
