# threads 4 processes 5 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.75748	0.703464
1.73877	0.689686
1.75234	0.701162
1.74639	0.698447
1.72197	0.674508
1.72065	0.673513
1.75031	0.700668
1.72809	0.673893
1.71169	0.668833
1.73734	0.687638
1.75374	0.702159
1.73439	0.682842
1.74843	0.7001
1.74995	0.701711
1.73754	0.693575
1.73488	0.695416
1.73453	0.691355
1.72809	0.684597
1.74078	0.693914
1.73433	0.687613
1.7356	0.682676
1.75628	0.70697
1.74091	0.691662
1.73081	0.68458
1.74507	0.689068
1.72941	0.678477
1.73306	0.684965
1.75065	0.700997
1.72532	0.679258
1.72253	0.679221
