# threads 1 processes 56 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.52816	2.12465
2.42524	2.02338
2.44102	2.03712
2.43421	2.03255
2.43364	2.03115
2.43611	2.03314
2.43324	2.03035
2.43904	2.03551
2.47444	2.07018
2.43787	2.03398
2.43171	2.02871
2.43782	2.03594
2.4334	2.02947
2.44418	2.04184
2.42966	2.02514
2.43117	2.02699
2.42637	2.02321
2.43785	2.03534
2.42938	2.02531
2.5227	2.11954
2.43469	2.02751
2.43679	2.03435
2.4294	2.02714
2.42912	2.02482
2.42835	2.02374
2.42342	2.02071
2.4277	2.02448
2.43212	2.02864
2.43434	2.02995
2.43267	2.02932
2.43767	2.03474
2.44506	2.04362
2.43202	2.02894
2.43505	2.03195
2.42655	2.02507
2.43464	2.03097
2.43453	2.03183
2.42896	2.02562
2.42261	2.0205
2.43021	2.02784
2.42602	2.02469
2.42608	2.02053
2.42539	2.02163
2.42835	2.02568
2.43879	2.03483
2.42378	2.02094
2.43159	2.03005
2.45885	2.05389
2.43368	2.03085
2.43956	2.03819
