# threads 4 processes 5 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.804976	0.271311
0.662039	0.130017
0.658624	0.136143
0.658226	0.135147
0.657957	0.135129
0.65746	0.134475
0.657742	0.134912
0.657323	0.134836
0.657908	0.135024
0.657021	0.134804
0.659069	0.136273
0.657877	0.134829
0.65709	0.133551
0.656784	0.134503
0.657268	0.133821
0.656704	0.133714
0.65845	0.136087
0.657784	0.135033
0.656935	0.133964
0.656999	0.117912
0.658102	0.135215
0.659211	0.136393
0.656581	0.133794
0.658384	0.135886
0.656905	0.133742
0.657931	0.133748
0.658921	0.136101
0.658231	0.135177
0.658439	0.135715
0.656893	0.134112
