# threads 2 processes 20 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.24162	1.51608
2.18676	1.4589
2.16237	1.44047
2.18997	1.4616
2.17913	1.44233
2.18997	1.46171
2.18558	1.4596
2.18695	1.4619
2.18525	1.45915
2.18404	1.4591
2.18636	1.46131
2.18313	1.45851
2.20589	1.47862
2.18665	1.46003
2.1718	1.44387
2.18714	1.46219
2.18891	1.46125
2.18463	1.45552
2.1662	1.44402
2.18832	1.46314
2.18822	1.46053
2.18975	1.4633
2.18349	1.45743
2.16328	1.43658
2.18758	1.46102
2.18316	1.45777
2.18797	1.46224
2.18991	1.46222
2.18806	1.46202
2.18854	1.461
