# threads 1 processes 52 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.46858	2.05862
2.40302	1.99286
2.41355	2.00287
2.40236	1.99319
2.43412	2.02475
2.42995	2.01894
2.41462	2.00388
2.41193	2.00145
2.41072	2.00195
2.40031	1.99104
2.40386	1.99418
2.41034	1.99869
2.41078	2.00087
2.40795	1.99896
2.40872	1.99823
2.41045	2.00096
2.40037	1.98928
2.40078	1.9899
2.41156	2.00123
2.4054	1.99615
2.40862	1.99864
2.40872	1.99945
2.40968	2.00008
2.50443	2.09389
2.41105	1.98132
2.4104	2.00166
2.40776	1.99643
2.41242	2.00182
2.40321	1.99333
2.4088	1.99891
2.41013	1.99889
2.40476	1.99498
2.40162	1.99127
2.40955	1.99975
2.40709	1.99828
2.40894	1.99978
2.40358	1.99242
2.40389	1.99423
2.40395	1.99454
2.40099	1.98925
2.40114	1.98953
2.40149	1.99049
2.40351	1.99425
2.40204	1.99281
2.39955	1.99029
2.40391	1.99391
2.40235	1.992
2.48031	2.07114
2.41271	1.98953
2.40247	1.99284
