# threads 1 processes 44 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.183911	0.136147
0.135923	0.0894985
0.126681	0.0788444
0.123931	0.076337
0.124228	0.0765334
0.124038	0.0762914
0.124055	0.0764478
0.123847	0.0760576
0.123998	0.0763031
0.123981	0.0763533
0.124163	0.0765385
0.124113	0.0577749
0.124022	0.0763052
0.123911	0.0762544
0.12399	0.076414
0.123876	0.0761142
0.124451	0.0768657
0.123869	0.0763571
0.123996	0.076115
0.124274	0.0766874
0.123779	0.0761284
0.123928	0.0762991
0.124027	0.0764915
0.123872	0.0762748
0.123624	0.0760073
0.124217	0.0766902
0.124043	0.0763026
0.124276	0.0766538
0.124098	0.0764899
0.123759	0.0761621
0.123997	0.0763943
0.124384	0.0766576
0.124714	0.0772068
0.124451	0.0770001
0.123961	0.0762159
0.124258	0.0766105
0.124547	0.0768827
0.123976	0.0763603
0.123924	0.0762525
0.124091	0.0764859
0.124016	0.0763149
0.124108	0.0765841
0.123767	0.0760689
0.124088	0.0762789
0.1239	0.0762481
0.123951	0.0763387
0.123978	0.0763487
0.124214	0.07658
0.124181	0.0764739
0.123913	0.0757616
