# threads 1 processes 16 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.95265	1.24623
1.82855	1.1238
1.81739	1.11221
1.81795	1.10879
1.82665	1.11628
1.82176	1.11269
1.81606	1.1098
1.8159	1.10454
1.82607	1.1168
1.82471	1.11989
1.82432	1.11972
1.82277	1.11653
1.82009	1.10491
1.82338	1.11341
1.81508	1.10527
1.98682	1.28128
1.81784	1.11402
1.81763	1.11318
1.81378	1.11485
1.82034	1.10913
1.81666	1.10752
1.82364	1.11945
1.82621	1.12177
1.82392	1.11521
1.82506	1.12263
1.85429	1.14959
1.82092	1.10659
1.8212	1.11048
1.82377	1.11511
1.82267	1.11717
1.82299	1.10849
1.82969	1.12553
1.81578	1.11098
1.81911	1.11264
1.82367	1.11438
1.824	1.11386
1.82482	1.11807
1.83262	1.12382
1.83687	1.12706
1.82255	1.11301
1.82976	1.12486
1.82128	1.11151
1.83155	1.12178
1.83249	1.12569
1.819	1.10964
1.82209	1.11156
1.82783	1.12191
1.82839	1.12317
1.83694	1.13013
1.82992	1.12346
