# threads 1 processes 20 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.77982	1.3047
1.18613	0.704812
1.1809	0.701424
1.18394	0.704377
1.18479	0.704777
1.18291	0.703311
1.18415	0.713058
1.18673	0.707439
1.18786	0.708999
1.18594	0.701931
1.18201	0.700026
1.18698	0.71334
1.18734	0.71607
1.19184	0.711975
1.18344	0.702647
1.18594	0.704292
1.18108	0.701713
1.1796	0.693441
1.18555	0.702509
1.21445	0.736632
1.19256	0.716319
1.18044	0.703308
1.1871	0.704299
1.18542	0.702982
1.18067	0.700076
1.1827	0.703448
1.18347	0.702933
1.18605	0.705912
1.18796	0.7076
1.17959	0.698653
1.18264	0.703101
1.18518	0.702819
1.18659	0.702922
1.18328	0.706869
1.18672	0.702525
1.19329	0.716732
1.17934	0.69934
1.18842	0.705568
1.1881	0.706108
1.19883	0.718763
1.20357	0.729038
1.17935	0.703916
1.18725	0.707858
1.18984	0.70661
1.25197	0.758947
1.18079	0.69966
1.21771	0.739931
1.18691	0.710094
1.18661	0.70338
1.18324	0.702965
