# threads 4 processes 14 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.489037	0.284485
0.283173	0.082265
0.276275	0.0755762
0.275894	0.0752424
0.278924	0.0777389
0.27851	0.0779779
0.27962	0.0786277
0.278558	0.0776462
0.279067	0.0784812
0.279115	0.0783704
0.278167	0.0770892
0.27557	0.0747518
0.276359	0.075558
0.277348	0.0763868
0.275863	0.0750347
0.276693	0.0760798
0.276148	0.0751611
0.276469	0.0757608
0.276188	0.0755635
0.278858	0.0782017
0.275993	0.0753912
0.276479	0.0754399
0.280335	0.0793725
0.276477	0.0758075
0.2764	0.0752793
0.279485	0.0787584
0.279725	0.0786722
0.27595	0.0752704
0.276007	0.0748388
0.279128	0.0780736
