# threads 4 processes 1 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
3.23692	9.71e-07
3.23038	8.92e-07
3.23148	9.52e-07
3.23192	9.76e-07
3.23597	9.19e-07
3.23276	9.79e-07
3.23445	9.9e-07
3.23327	8.05e-07
3.23515	1.022e-06
3.233	1.044e-06
3.23097	1.292e-06
3.23297	1.699e-06
3.24298	8.48e-07
3.23451	1.101e-06
3.22922	9.36e-07
3.23346	1.128e-06
3.2331	9.68e-07
3.23017	9.88e-07
3.2403	7.51e-07
3.23225	1.038e-06
3.23328	1.244e-06
3.23435	1.715e-06
3.23323	1.889e-06
3.23495	2.551e-06
3.23224	1.551e-06
3.2315	1.126e-06
3.23122	1.787e-06
3.23313	1.183e-06
3.2317	8.64e-07
3.2349	1.101e-06
