# threads 2 processes 24 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.41277	0.908925
1.23698	0.734955
1.24022	0.733485
1.24008	0.734709
1.23971	0.735982
1.24877	0.74377
1.24136	0.734417
1.24319	0.733359
1.24458	0.734489
1.24312	0.73392
1.26312	0.756815
1.27558	0.764133
1.26098	0.750015
1.25193	0.741038
1.26068	0.750288
1.26078	0.750107
1.24164	0.733218
1.25336	0.751251
1.24224	0.736213
1.24084	0.733645
1.24876	0.74013
1.27106	0.763766
1.2596	0.749311
1.26025	0.749996
1.24614	0.735738
1.24251	0.734257
1.24348	0.733715
1.23915	0.734198
1.24089	0.733981
1.24299	0.732987
