# threads 4 processes 3 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.27113	0.197765
1.26406	0.196168
1.26531	0.194372
1.26161	0.195876
1.26017	0.194936
1.26225	0.19496
1.26147	0.195212
1.27054	0.196414
1.27304	0.197818
1.26227	0.194728
1.27307	0.199066
1.2638	0.197404
1.25728	0.191747
1.25945	0.193475
1.25645	0.190646
1.2686	0.197151
1.26306	0.195862
1.25947	0.192729
1.2639	0.19595
1.26563	0.198322
1.27219	0.197498
1.26641	0.199235
1.26791	0.197469
1.26696	0.198186
1.26782	0.196788
1.267	0.196828
1.26441	0.195549
1.26738	0.198614
1.26015	0.196135
1.2668	0.198707
