# threads 1 processes 52 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.38095	1.0757
1.33938	1.03791
1.33656	1.02963
1.33678	1.03251
1.33534	1.03101
1.33837	1.03316
1.3359	1.03173
1.33631	1.03337
1.33092	1.02849
1.33817	1.03045
1.33333	1.03212
1.33513	1.03012
1.3357	1.02732
1.33926	1.03289
1.3375	1.03187
1.35268	1.04876
1.33777	1.03534
1.33922	1.03713
1.33957	1.03588
1.3427	1.04002
1.33716	1.03045
1.33973	1.03485
1.33708	1.03535
1.33571	1.03468
1.33516	1.03112
1.33816	1.03308
1.33684	1.03171
1.33802	1.03322
1.34439	1.04046
1.33698	1.03289
1.34202	1.03537
1.33978	1.0349
1.33688	1.03165
1.33853	1.03658
1.33792	1.03363
1.33237	1.0287
1.33637	1.03124
1.34388	1.04126
1.3402	1.03595
1.33692	1.03163
1.33538	1.02833
1.33356	1.03554
1.33935	1.03643
1.3349	1.03341
1.34056	1.04146
1.33731	1.03578
1.33869	1.03846
1.34035	1.04327
1.33873	1.03975
1.33765	1.0373
