# threads 1 processes 52 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.178999	0.137497
0.125933	0.0840014
0.113357	0.0720122
0.113467	0.0715395
0.113622	0.0716544
0.113508	0.0713412
0.114295	0.0722357
0.113518	0.0715238
0.11355	0.0720231
0.114732	0.0729622
0.113521	0.0291104
0.113714	0.0721654
0.1142	0.0727803
0.113476	0.0713742
0.113652	0.0722068
0.113504	0.0720752
0.113602	0.0719934
0.113589	0.0721163
0.113433	0.0719228
0.113439	0.0720048
0.113486	0.0718131
0.113437	0.0718082
0.113651	0.0722365
0.114111	0.0725466
0.113711	0.0720541
0.113389	0.0719194
0.113479	0.0718674
0.113747	0.0721443
0.113777	0.0722869
0.113425	0.0719788
0.113493	0.0713767
0.113937	0.0723588
0.113527	0.0720411
0.113429	0.0719626
0.113438	0.0719091
0.113512	0.0719436
0.113458	0.0720078
0.113773	0.0722826
0.113627	0.0721309
0.113496	0.0721194
0.113632	0.0719889
0.113493	0.0721371
0.113657	0.0720441
0.113574	0.0721305
0.113519	0.0714834
0.113347	0.0712831
0.113466	0.0719145
0.113694	0.0721297
0.113654	0.0721888
0.113762	0.072332
