# threads 1 processes 56 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.39497	1.09678
1.32092	1.02525
1.32233	1.02416
1.32132	1.02433
1.32125	1.02133
1.31774	1.02123
1.31849	1.01777
1.31628	1.01995
1.31652	1.01739
1.31513	1.01881
1.31582	1.01771
1.32116	1.02343
1.31989	1.02209
1.31797	1.01891
1.317	1.0212
1.32086	1.0223
1.31337	1.01743
1.31609	1.01766
1.3184	1.02048
1.32879	1.03173
1.32191	1.02335
1.3201	1.02348
1.3166	1.01777
1.32207	1.02598
1.32953	1.03127
1.32147	1.02365
1.32226	1.02442
1.31943	1.01946
1.31773	1.02001
1.32256	1.02514
1.32015	1.02151
1.31737	1.01998
1.31893	1.02248
1.31992	1.02234
1.32064	1.0238
1.31709	1.01904
1.31394	1.01752
1.31353	1.01567
1.31408	1.0175
1.32235	1.02427
1.33572	1.03791
1.31782	1.02286
1.31602	1.01846
1.31905	1.01943
1.31854	1.02334
1.32119	1.02361
1.3152	1.01699
1.31671	1.01873
1.35281	1.05673
1.31439	1.01718
