# threads 1 processes 1 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
3.91339	9.19e-07
3.91788	1.143e-06
3.91232	1.053e-06
3.9152	9.21e-07
3.93537	1.487e-06
3.91376	1.575e-06
3.91461	8.38e-07
3.91228	1.159e-06
3.9379	8.32e-07
3.91283	8.37e-07
3.917	1.001e-06
3.91724	1.038e-06
3.91413	8.68e-07
3.91272	1.251e-06
3.91297	9.44e-07
3.91309	1.002e-06
3.91273	7.46e-07
3.91377	9.67e-07
3.91372	9.65e-07
3.91425	2.245e-06
3.91311	8.05e-07
3.9357	1.782e-06
3.91381	1.388e-06
3.91479	1.318e-06
3.91314	8.31e-07
3.93529	9.72e-07
3.91217	1.064e-06
3.91831	1.033e-06
3.91324	6.71e-07
3.92044	7.79e-07
3.91142	1.484e-06
3.91515	8.86e-07
3.91377	8.19e-07
3.9137	1.012e-06
3.91364	1.333e-06
3.91325	9.57e-07
3.91622	1.044e-06
3.91347	1.052e-06
3.93543	1.235e-06
3.91292	8.82e-07
3.91538	9.38e-07
3.91361	1.095e-06
3.93809	9.22e-07
3.91202	9.18e-07
3.91491	8.77e-07
3.91487	1.14e-06
3.92472	1.071e-06
3.91307	1.082e-06
3.91251	9.82e-07
3.91782	2.315e-06
