# threads 8 processes 3 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.94713	0.651996
2.66482	0.517061
2.66687	0.519746
2.66611	0.519137
2.66973	0.518325
2.67856	0.530282
2.66503	0.518761
2.66691	0.512812
2.66739	0.511602
2.66735	0.51361
2.66666	0.519145
2.67266	0.524745
2.67132	0.518575
2.67111	0.517265
2.6744	0.525132
2.67184	0.518828
2.6727	0.519024
2.67401	0.518393
2.67129	0.517406
2.67084	0.516789
2.6739	0.51995
2.66575	0.512176
2.66502	0.511555
2.66759	0.518714
2.66679	0.513629
2.66599	0.517958
2.67234	0.524956
2.67046	0.516937
2.67214	0.518664
2.67092	0.523561
