# threads 1 processes 48 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.203673	0.159387
0.135796	0.0927762
0.122926	0.0787372
0.122705	0.078405
0.122799	0.0783631
0.122776	0.0770926
0.122655	0.0784786
0.123258	0.0791155
0.122821	0.0786836
0.122785	0.0786369
0.122551	0.0782325
0.122669	0.0784512
0.123157	0.0790394
0.1226	0.0782794
0.123557	0.079293
0.122731	0.0785876
0.12251	0.078129
0.122637	0.0783395
0.122541	0.0783273
0.12265	0.0785685
0.122601	0.0783313
0.122687	0.0784109
0.122565	0.0782828
0.122545	0.0784021
0.12284	0.0787035
0.122528	0.0784503
0.122484	0.0782533
0.123154	0.0789758
0.122682	0.0785401
0.12336	0.0791982
0.122734	0.0784186
0.122559	0.0782687
0.122511	0.0782398
0.122698	0.0785527
0.122622	0.0783765
0.122812	0.0785661
0.122782	0.0785622
0.122486	0.07814
0.123007	0.0786818
0.12236	0.0781427
0.123153	0.0790249
0.122706	0.0785323
0.122547	0.0783765
0.122715	0.0785652
0.122585	0.0784715
0.123398	0.0792632
0.123412	0.0793064
0.122777	0.0786212
0.122486	0.0782596
0.122491	0.0781893
