# threads 1 processes 28 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.18163	1.65531
2.09853	1.57117
2.11387	1.58772
2.10506	1.57856
2.1059	1.57582
2.1044	1.57321
2.10676	1.57646
2.10292	1.57403
2.10324	1.57425
2.1042	1.57675
2.10776	1.57624
2.10133	1.57293
2.11546	1.5823
2.10687	1.57545
2.11465	1.58122
2.10683	1.57723
2.09638	1.56945
2.13739	1.60092
2.10339	1.57739
2.10506	1.57089
2.10319	1.5699
2.10672	1.57754
2.11628	1.58627
2.1005	1.57047
2.10064	1.57156
2.10504	1.57665
2.13723	1.6036
2.10542	1.57381
2.10568	1.56906
2.10263	1.57255
2.10959	1.57621
2.09758	1.56947
2.10366	1.5705
2.1049	1.5754
2.12878	1.59944
2.10601	1.57601
2.10739	1.57258
2.09929	1.57263
2.18453	1.65164
2.10505	1.57062
2.10533	1.57359
2.10243	1.57603
2.10263	1.57279
2.12395	1.59495
2.10033	1.57369
2.09957	1.56923
2.10728	1.57596
2.09973	1.57275
2.10841	1.5817
2.11146	1.58163
