# threads 1 processes 18 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.85734	2.1645
2.17924	1.49347
2.18395	1.49255
2.18272	1.48588
2.17855	1.48723
2.18174	1.49172
2.18032	1.48897
2.18077	1.48696
2.1818	1.49244
2.18572	1.49472
2.17946	1.49188
2.18193	1.49127
2.17553	1.4844
2.18404	1.49408
2.18269	1.49182
2.18116	1.48934
2.18283	1.49082
2.18577	1.49488
2.18036	1.48094
2.1803	1.48868
2.18029	1.48998
2.18603	1.50229
2.18473	1.49575
2.18483	1.49403
2.18076	1.49051
2.18	1.48867
2.18844	1.49779
2.18725	1.49594
2.1839	1.49243
2.18591	1.50209
2.18678	1.49627
2.18314	1.49107
2.18526	1.49522
2.1939	1.50355
2.18595	1.49331
2.18331	1.49238
2.18728	1.49502
2.18559	1.49509
2.18722	1.49612
2.18388	1.49317
2.18642	1.49477
2.18556	1.493
2.23498	1.54408
2.18065	1.48938
2.18641	1.50168
2.19875	1.5088
2.18741	1.49616
2.18506	1.49717
2.18817	1.49593
2.19748	1.50823
