# threads 1 processes 8 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.49738	0.709043
1.45166	0.68077
1.45088	0.677983
1.45527	0.683313
1.4462	0.675123
1.45405	0.681901
1.45207	0.678643
1.44889	0.678628
1.45361	0.68214
1.45584	0.681397
1.45128	0.679742
1.45448	0.684268
1.44926	0.679978
1.45578	0.685255
1.46664	0.68938
1.46293	0.691902
1.469	0.69915
1.4649	0.693637
1.45192	0.680717
1.45442	0.683448
1.44967	0.679935
1.4519	0.679025
1.45044	0.6801
1.44909	0.677194
1.45368	0.684206
1.45336	0.679217
1.46163	0.691943
1.44989	0.678948
1.45647	0.682192
1.45183	0.680237
1.46007	0.682076
1.45223	0.680133
1.45153	0.681921
1.45007	0.681064
1.45991	0.688814
1.45398	0.681877
1.45042	0.67891
1.45095	0.681604
1.45173	0.678995
1.44908	0.678511
1.45249	0.679677
1.45141	0.670639
1.45644	0.671543
1.4618	0.689171
1.45704	0.683789
1.51291	0.734512
1.44942	0.675738
1.4543	0.679426
1.45784	0.685768
1.45078	0.677223
