# threads 2 processes 4 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.934481	0.148454
0.917702	0.11994
0.909329	0.110866
0.911938	0.113069
0.912002	0.113248
0.915515	0.117153
0.913002	0.114464
0.91506	0.116159
0.915132	0.117175
0.915768	0.117005
0.913389	0.113788
0.916807	0.118564
0.916329	0.118018
0.908386	0.109692
0.908294	0.108918
0.916799	0.118769
0.916452	0.118715
0.912681	0.114759
0.910734	0.112031
0.91578	0.118462
0.915588	0.117487
0.916715	0.118556
0.916125	0.118364
0.923121	0.125329
0.916108	0.118312
0.912588	0.114881
0.916526	0.118135
0.916904	0.118842
0.915273	0.117269
0.916428	0.118588
