# threads 1 processes 16 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.376685	0.262787
0.289704	0.175578
0.288111	0.175103
0.28919	0.176563
0.281171	0.168391
0.280807	0.167921
0.280595	0.167796
0.280829	0.168063
0.282728	0.169821
0.282125	0.169597
0.281326	0.168501
0.280412	0.167432
0.280966	0.16843
0.280404	0.167603
0.288813	0.175259
0.281771	0.169157
0.28264	0.16982
0.282648	0.170039
0.282155	0.169462
0.281762	0.168964
0.282835	0.170326
0.282986	0.169864
0.281739	0.16909
0.282517	0.169568
0.283066	0.170347
0.28226	0.169405
0.282196	0.169523
0.282727	0.170096
0.281544	0.168902
0.281536	0.16826
0.282718	0.170014
0.282699	0.169973
0.282212	0.169604
0.28285	0.17013
0.283741	0.170955
0.283061	0.17036
0.281858	0.168599
0.283551	0.170872
0.28281	0.170132
0.282345	0.169838
0.282192	0.169339
0.282199	0.169532
0.282652	0.1702
0.288027	0.175203
0.287847	0.175264
0.288519	0.175723
0.288202	0.175141
0.282461	0.169909
0.283165	0.170527
0.283562	0.1706
