# threads 1 processes 24 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.18073	1.60344
2.05422	1.47187
2.05039	1.47496
2.10696	1.53011
2.07788	1.50142
2.1014	1.52788
2.05399	1.48063
2.06412	1.49216
2.05083	1.47744
2.06107	1.4859
2.08274	1.50382
2.09358	1.52026
2.04745	1.47405
2.05057	1.47334
2.05885	1.48361
2.07382	1.49972
2.06495	1.49094
2.09352	1.52068
2.05288	1.47949
2.04375	1.47048
2.04382	1.47208
2.05473	1.48161
2.0502	1.47571
2.05476	1.48024
2.05617	1.47885
2.04852	1.47056
2.05252	1.4798
2.06214	1.48566
2.0494	1.47106
2.06088	1.48621
2.05554	1.4841
2.05716	1.47936
2.0419	1.46991
2.04856	1.47505
2.05151	1.47289
2.05359	1.47709
2.05209	1.47637
2.04937	1.47242
2.05085	1.47491
2.12146	1.54562
2.19039	1.61815
2.04925	1.47606
2.05165	1.47436
2.04877	1.47175
2.04291	1.47002
2.04987	1.47279
2.04863	1.47438
2.04656	1.47037
2.04663	1.47093
2.05606	1.4791
