# threads 1 processes 1 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
5.52981	9.85e-07
5.52259	9.18e-07
5.51695	9.25e-07
5.53121	7.59e-07
5.51854	8.31e-07
5.53692	8.98e-07
5.55221	8.99e-07
5.51974	9.17e-07
5.52734	1.085e-06
5.51682	9.85e-07
5.52024	8.88e-07
5.52152	1.111e-06
5.51919	8.59e-07
5.5413	9.34e-07
5.5208	8.22e-07
5.52419	9.3e-07
5.5226	7.32e-07
5.52354	8.65e-07
5.519	8.43e-07
5.52209	9.31e-07
5.54659	8.17e-07
5.5238	1.002e-06
5.52223	1.146e-06
5.52465	9.58e-07
5.51937	7.55e-07
5.52267	7.97e-07
5.51948	8.95e-07
5.54123	7.7e-07
5.51773	8.53e-07
5.52889	7.68e-07
5.52051	7.69e-07
5.52835	9.11e-07
5.52122	1.07e-06
5.51862	1.135e-06
5.53969	1.097e-06
5.51767	8.11e-07
5.51655	9.89e-07
5.54863	9.98e-07
5.51927	1.086e-06
5.52238	7.59e-07
5.51522	7.68e-07
5.53438	8.87e-07
5.51555	8.92e-07
5.51996	8.45e-07
5.54242	8.54e-07
5.52236	8.28e-07
5.51965	1.161e-06
5.51901	7.64e-07
5.52283	7.89e-07
5.51532	1.12e-06
