# threads 2 processes 26 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.25157	1.59649
2.21743	1.56253
2.22256	1.54494
2.21393	1.56079
2.21373	1.55813
2.21028	1.55196
2.21542	1.56159
2.21681	1.56052
2.21338	1.5582
2.22025	1.56299
2.22287	1.56795
2.21428	1.5586
2.22186	1.56405
2.2274	1.57382
2.22587	1.56993
2.21841	1.56424
2.21548	1.56184
2.21068	1.55521
2.21187	1.55456
2.2109	1.55722
2.21126	1.55394
2.22173	1.56506
2.22229	1.56406
2.22404	1.56792
2.21094	1.55511
2.21257	1.55474
2.21054	1.55409
2.21373	1.55827
2.21344	1.56009
2.21874	1.5622
