# threads 4 processes 10 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.13436	1.4449
1.65141	0.966788
1.65804	0.977975
1.69031	1.00788
1.67529	0.9907
1.6789	0.997597
1.68579	1.00035
1.6755	0.995344
1.65752	0.977823
1.69165	1.00957
1.66195	0.979269
1.67576	0.992693
1.65154	0.969103
1.69399	1.00924
1.67553	0.992931
1.67414	0.990944
1.67674	0.993417
1.65823	0.972813
1.65352	0.970084
1.65884	0.972863
1.66207	0.979857
1.66643	0.982086
1.64145	0.961266
1.69093	1.01022
1.67328	0.993028
1.65018	0.964985
1.67235	0.994355
1.68161	0.998259
1.68841	1.00128
1.68698	1.00509
