# threads 4 processes 8 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.522439	0.202288
0.437219	0.123937
0.431878	0.110846
0.430555	0.109542
0.429684	0.108383
0.43089	0.109827
0.432074	0.11051
0.430887	0.108938
0.434522	0.112569
0.433489	0.111997
0.436568	0.115348
0.432531	0.110669
0.433013	0.111904
0.430373	0.10908
0.432469	0.111374
0.432741	0.111274
0.432861	0.111246
0.431972	0.111148
0.434037	0.112385
0.434308	0.113099
0.432497	0.111204
0.435613	0.113797
0.431918	0.11094
0.433251	0.111685
0.430165	0.108672
0.437043	0.115876
0.438356	0.116718
0.439536	0.118638
0.433321	0.111492
0.433823	0.112565
