# threads 1 processes 18 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.34282	0.831754
1.2253	0.705581
1.22225	0.703518
1.22241	0.70558
1.22797	0.705427
1.22321	0.70795
1.22494	0.708671
1.21604	0.704406
1.22488	0.704236
1.21583	0.700464
1.21649	0.699841
1.20777	0.699877
1.2311	0.698806
1.22558	0.706719
1.22573	0.701161
1.2202	0.705769
1.22691	0.70009
1.22779	0.702193
1.22636	0.703767
1.21822	0.705003
1.22596	0.701328
1.20347	0.698492
1.22891	0.705204
1.23075	0.701436
1.21668	0.705528
1.21805	0.705215
1.21065	0.702178
1.21937	0.705136
1.2246	0.70578
1.22619	0.702772
1.22821	0.698114
1.22656	0.704027
1.22997	0.707441
1.22918	0.708994
1.22505	0.701906
1.21446	0.698644
1.21091	0.701368
1.22517	0.707668
1.22568	0.70224
1.22413	0.7068
1.22332	0.707656
1.21058	0.70059
1.22699	0.703503
1.22654	0.701549
1.23152	0.700398
1.23372	0.703903
1.21729	0.698667
1.22237	0.704831
1.21581	0.701692
1.22834	0.699917
