# threads 4 processes 5 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.15836	0.325805
1.14322	0.323155
1.14741	0.327909
1.139	0.320045
1.14285	0.324551
1.15008	0.331839
1.15411	0.33422
1.14139	0.323089
1.14927	0.321751
1.16193	0.331971
1.1601	0.3304
1.16813	0.337916
1.1482	0.323786
1.14256	0.323205
1.14666	0.326947
1.14314	0.323666
1.15928	0.333505
1.14515	0.326074
1.14904	0.329671
1.15054	0.330357
1.16728	0.333558
1.15085	0.331839
1.14305	0.320175
1.15107	0.330033
1.15524	0.329242
1.16096	0.332373
1.14583	0.326259
1.14358	0.324168
1.1566	0.33146
1.15773	0.335903
