# threads 8 processes 7 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.440826	0.0127908
0.404299	0.00806231
0.404679	0.00807455
0.406179	0.00814598
0.404641	0.0080768
0.40628	0.00800694
0.404228	0.00806489
0.404088	0.00812961
0.405068	0.00805589
0.405406	0.00810538
0.402767	0.00822956
0.404458	0.0081044
0.406356	0.00797656
0.406515	0.00804817
0.406148	0.00802861
0.405467	0.00810388
0.405943	0.00811527
0.405183	0.00813955
0.404548	0.00811785
0.404332	0.00803176
0.405026	0.00806199
0.407856	0.00817229
0.405696	0.00815345
0.406057	0.00810347
0.40478	0.00804066
0.405132	0.0079809
0.405931	0.00807081
0.405055	0.0080559
0.404395	0.00807819
0.405946	0.00809218
