# threads 2 processes 10 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.688822	0.380824
0.402841	0.0962551
0.396141	0.089125
0.39704	0.0909362
0.396528	0.0909129
0.39772	0.0909397
0.395934	0.0897454
0.397745	0.0923914
0.398854	0.0929301
0.397958	0.0919625
0.39627	0.0902651
0.397664	0.0917
0.397137	0.091051
0.397842	0.0926381
0.396366	0.0915349
0.397608	0.0923445
0.396555	0.0915992
0.397718	0.092665
0.397512	0.0925049
0.398002	0.0921165
0.397424	0.0912526
0.398241	0.0924699
0.396488	0.0902521
0.397386	0.0915457
0.396352	0.0900967
0.398336	0.0927926
0.396153	0.0900991
0.397535	0.0914571
0.396299	0.0906543
0.397174	0.091864
